snapshot_path,rel_path,radon_total_complexity,radon_num_items,pylint_msgs_count,pylint_rc,bandit_issues_count,bandit_rc
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\tests\admin_views\tests.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\tests\admin_views\tests.py,639,515,698,30,80,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\tests\csrf_tests\tests.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\tests\csrf_tests\tests.py,144,114,112,30,4,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\forms\fields.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\forms\fields.py,457,127,90,30,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\http\response.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\http\response.py,183,80,74,30,2,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\middleware\common.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\middleware\common.py,49,9,15,30,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\middleware\csrf.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\middleware\csrf.py,99,28,32,30,6,1
snapshots\fe1cb62f5c3f87fafc4a6b52fee2ccc6c80c41e2\django\db\backends\base\schema.py,fe1cb62f5c3f87fafc4a6b52fee2ccc6c80c41e2\django\db\backends\base\schema.py,476,81,183,30,0,0
snapshots\fe19b33e2f76045617067dd5123041ae4d3a91ee\tests\model_enums\tests.py,fe19b33e2f76045617067dd5123041ae4d3a91ee\tests\model_enums\tests.py,49,42,92,30,0,0
snapshots\fe19b33e2f76045617067dd5123041ae4d3a91ee\django\db\models\enums.py,fe19b33e2f76045617067dd5123041ae4d3a91ee\django\db\models\enums.py,39,19,22,30,0,0
snapshots\fe074c96a343530beea50fbdd0803d3e7b739e8e\django\db\backends\base\schema.py,fe074c96a343530beea50fbdd0803d3e7b739e8e\django\db\backends\base\schema.py,401,70,190,30,0,0
snapshots\fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\postgres_tests\test_constraints.py,fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\postgres_tests\test_constraints.py,49,45,92,30,0,0
snapshots\fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\postgres_tests\test_indexes.py,fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\postgres_tests\test_indexes.py,70,58,131,30,0,0
snapshots\fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\db_functions\comparison\test_cast.py,fdfbc66331292def201c9344e3cd29fbcbcd076a\tests\db_functions\comparison\test_cast.py,19,17,29,18,0,0
snapshots\fdfbc66331292def201c9344e3cd29fbcbcd076a\django\db\models\functions\comparison.py,fdfbc66331292def201c9344e3cd29fbcbcd076a\django\db\models\functions\comparison.py,58,25,29,26,0,0
snapshots\fdfb3086fcba1b737ec09676ab4bb95105f3371e\tests\indexes\tests.py,fdfb3086fcba1b737ec09676ab4bb95105f3371e\tests\indexes\tests.py,57,39,89,30,0,0
snapshots\fdfb3086fcba1b737ec09676ab4bb95105f3371e\django\db\models\indexes.py,fdfb3086fcba1b737ec09676ab4bb95105f3371e\django\db\models\indexes.py,96,16,42,30,0,0
snapshots\fdfb3086fcba1b737ec09676ab4bb95105f3371e\django\db\backends\mysql\features.py,fdfb3086fcba1b737ec09676ab4bb95105f3371e\django\db\backends\mysql\features.py,63,28,33,30,0,0
snapshots\fdfa97fb166ef5065aa2b229f19cb4ce303084e5\tests\model_fields\tests.py,fdfa97fb166ef5065aa2b229f19cb4ce303084e5\tests\model_fields\tests.py,56,46,98,30,1,1
snapshots\fdfa97fb166ef5065aa2b229f19cb4ce303084e5\django\db\models\fields\__init__.py,fdfa97fb166ef5065aa2b229f19cb4ce303084e5\django\db\models\fields\__init__.py,652,263,229,30,1,1
snapshots\fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr\formats.py,fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr\formats.py,0,0,1,16,0,0
snapshots\fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr_BE\formats.py,fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr_BE\formats.py,0,0,1,16,0,0
snapshots\fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr_CH\formats.py,fdf14cfc01558bfa6f990560d38531c82fb5c024\django\conf\locale\fr_CH\formats.py,0,0,1,16,0,0
snapshots\fdf0f625216cc5a70d28a3ac9a41f41935f1827c\tests\auth_tests\test_forms.py,fdf0f625216cc5a70d28a3ac9a41f41935f1827c\tests\auth_tests\test_forms.py,114,96,176,30,10,1
snapshots\fdf0f625216cc5a70d28a3ac9a41f41935f1827c\tests\auth_tests\test_views.py,fdf0f625216cc5a70d28a3ac9a41f41935f1827c\tests\auth_tests\test_views.py,180,153,183,30,11,1
snapshots\fde6fb28984a76d5bee794f4c0458eb25fe56fcd\tests\migrations\test_writer.py,fde6fb28984a76d5bee794f4c0458eb25fe56fcd\tests\migrations\test_writer.py,85,67,121,30,1,1
